Commit found #;Commithash ;Tactic;Probability;Type decision;Epitome;Jira Issue;Issue created at;Link;1st reviewer;2nd reviewer;2nd reviewer agree?;2nd reviewer disagree explanation
4593;a196766ea07775f18ded69bd9e8d239f8cfd3ccc;Kerbrose;0.11641387692307695;Existence;Refactor of subsystem;https://issues.apache.org/jira/browse/HADOOP-7106;14/01/2011 17:47;https://github.com/apache/hadoop/commit/a196766ea07775f18ded69bd9e8d239f8cfd3ccc;all;;;
3874;5128a9a453d64bfe1ed978cf9ffed27985eeef36;HeartBeat;0.10572327848101264;Existence;Refactor of subsystem;https://issues.apache.org/jira/browse/HADOOP-4687;19/11/2008 18:48;https://github.com/apache/hadoop/commit/5128a9a453d64bfe1ed978cf9ffed27985eeef36;all;;;
4395;6afbdb6e41b898177addaf4d818908d9f9e44ea2;Session;0.05985890070921985;Existence;Refactor of subsystem;https://issues.apache.org/jira/browse/HADOOP-7060;08/12/2010 23:19;https://github.com/apache/hadoop/commit/6afbdb6e41b898177addaf4d818908d9f9e44ea2;all;;;
3883;7e7fd2ce5b754c6398f8a326e5172d1e1b57c8e6;PingEcho;0.054020701754385975;;;n/a;;https://github.com/apache/hadoop/commit/7e7fd2ce5b754c6398f8a326e5172d1e1b57c8e6;all;;;
1102;2554cad0568bdcddbb8fb2f5237da0f2841b576c;Authenticate;0.03349260869565219;;;https://issues.apache.org/jira/browse/HADOOP-1147;22/03/2007 20:14;https://github.com/apache/hadoop/commit/2554cad0568bdcddbb8fb2f5237da0f2841b576c;all;;;
5408;bb8fd6a2670d00d562673f32a55d3d0dd7aaa69c;Scheduler;0.030954054934996922;;;https://issues.apache.org/jira/browse/HADOOP-7360;06/06/2011 08:02;https://github.com/apache/hadoop/commit/bb8fd6a2670d00d562673f32a55d3d0dd7aaa69c;all;;;
5380;1bcff6860cdb76b7d3ab0365edbc35972189cfaa;Scheduler;0.02939110625930183;;;https://issues.apache.org/jira/browse/MAPREDUCE-3014;15/09/2011 15:24;https://github.com/apache/hadoop/commit/1bcff6860cdb76b7d3ab0365edbc35972189cfaa;all;;;
5354;739acd6e145aadec5ac9ab42ff182c9c013707de;Scheduler;0.028746494993183158;;;https://issues.apache.org/jira/browse/MAPREDUCE-3284;27/10/2011 18:39;https://github.com/apache/hadoop/commit/739acd6e145aadec5ac9ab42ff182c9c013707de;all;;;
5356;101962e598d698a6845f79131b2b79d1621213fc;Scheduler;0.028746494993183158;;;https://issues.apache.org/jira/browse/HADOOP-7778;27/10/2011 17:04;https://github.com/apache/hadoop/commit/101962e598d698a6845f79131b2b79d1621213fc;all;;;
5349;646e855f6ef058b636a5fc85637a3f8e17fddaba;Scheduler;0.028593081439179713;Existence;More fault-tolerant;https://issues.apache.org/jira/browse/HDFS-2507;26/10/2011 18:19;https://github.com/apache/hadoop/commit/646e855f6ef058b636a5fc85637a3f8e17fddaba;all;;;
27087;9f0610fb83ae064e2e2c854fb2e9c9dc4cbc1646;Audit;0.025328475964449634;Existence;Moving of subsystem;https://issues.apache.org/jira/browse/HADOOP-16654;12/10/2019 10:11;https://github.com/apache/hadoop/commit/9f0610fb83ae064e2e2c854fb2e9c9dc4cbc1646;all;;;
223;bea19da3b043a71e0223bce2588782edb7daab88;LoadBalancing;0.024683684210526316;Existence;Change of protocol;https://issues.apache.org/jira/browse/HADOOP-200;07/05/2006 10:54;https://github.com/apache/hadoop/commit/bea19da3b043a71e0223bce2588782edb7daab88;all;;;
